ForagingGround,Species,CCL_cm,CCW_cm,Weight_Kg,CalendarWeek
Ocean,Species_5,41.9,41.1,9.312000000000001,34
Creek,Species_5,44.8,44.0,9.966,41
Creek,Species_5,45.7,43.1,12.086,6
Creek,Species_5,71.1,64.3,36.1,38
Creek,Species_5,40.3,39.2,7.786,3
Creek,Species_5,49.0,47.5,13.52,3
Ocean,Species_6,46.0,41.5,11.7,42
Ocean,Species_5,43.0,40.93,9.3,40
Creek,Species_5,44.5,43.3,10.296,16
Ocean,Species_6,31.7,28.3,3.4,49
Creek,Species_5,38.3,37.1,5.2,45
Ocean,Species_5,43.8,41.03,9.35,9
Creek,Species_6,43.77,40.43,9.45,49
Creek,Species_6,30.8,29.1,4.29,25
Creek,Species_6,31.5,30.5,3.9,29
Creek,Species_5,44.2,41.8,9.7,42
Creek,Species_5,40.5,38.8,7.32,28
Creek,Species_6,31.3,30.2,4.12,40
Creek,Species_5,37.9,36.5,7.02,30
Creek,Species_5,48.7,44.3,13.681999999999999,38
Ocean,Species_6,36.2,32.1,5.32,50
Creek,Species_5,63.3,56.0,29.5,41
Ocean,Species_5,48.0,43.8,14.01,17
Creek,Species_5,44.9,40.3,11.296000000000001,27
Ocean,Species_6,38.0,35.5,6.2,47
Ocean,Species_5,49.2,46.9,19.785999999999998,50
Creek,Species_6,46.3,43.0,11.75,23
Creek,Species_5,62.5,58.0,28.363999999999997,49
Ocean,Species_5,48.3,45.8,14.5,18
Ocean,Species_5,33.2,29.6,4.33,37
Ocean,Species_6,45.2,41.5,11.32,11
Creek,Species_5,35.6,32.8,5.0,11
Creek,Species_6,42.1,39.5,8.8,14
Creek,Species_5,67.7,62.2,37.62,41
Ocean,Species_6,33.1,30.6,4.03,46
Creek,Species_5,45.0,41.4,11.0,0
Ocean,Species_6,33.8,32.1,5.0,41
Ocean,Species_5,44.6,43.2,9.896,28
Creek,Species_5,45.4,43.1,11.774000000000001,24
Creek,Species_5,48.9,45.7,13.234,35
Ocean,Species_6,28.5,24.5,2.51,6
Creek,Species_6,34.9,32.1,4.54,12
Ocean,Species_6,37.7,35.25,6.1,48
Creek,Species_5,47.7,41.6,11.62,49
Ocean,Species_5,61.5,56.3,27.0,47
Ocean,Species_6,36.4,32.1,5.42,43
Creek,Species_6,35.5,33.6,5.45,36
Ocean,Species_5,36.7,35.9,6.0,1
Creek,Species_6,33.8,30.4,5.0,32
Creek,Species_5,36.3,36.8,5.5,38
Creek,Species_6,37.06,35.53,5.55,20
Ocean,Species_5,45.3,43.5,11.214,51
Ocean,Species_6,31.5,29.0,3.77,52
Ocean,Species_5,56.9,52.3,23.84,10
Ocean,Species_6,32.7,31.7,4.3,6
Ocean,Species_5,41.1,36.7,8.83,46
Creek,Species_5,43.0,43.3,9.728,46
Creek,Species_5,46.4,41.6,11.0,41
Creek,Species_5,64.8,56.9,32.5,49
Ocean,Species_6,29.3,27.5,3.64,33
Ocean,Species_6,35.7,34.4,5.5,40
Creek,Species_5,43.7,43.1,10.437999999999999,47
Ocean,Species_6,27.3,25.1,2.5,4
Creek,Species_5,45.0,41.8,10.734,6
Creek,Species_5,70.0,62.1,38.196,34
Creek,Species_5,62.7,58.4,28.669999999999998,44
Creek,Species_5,55.6,55.4,22.5,48
Creek,Species_5,66.4,59.0,32.5,49
Ocean,Species_6,32.2,30.1,4.01,18
Creek,Species_5,40.0,39.1,8.5,25
Creek,Species_5,46.2,43.6,13.5,51
Creek,Species_5,43.8,40.8,9.5,9
Ocean,Species_5,39.9,38.7,8.5,7
Creek,Species_6,44.3,40.8,10.334,9
Creek,Species_5,48.4,46.6,12.99,46
Creek,Species_6,32.2,30.8,2.4,2
Creek,Species_6,30.7,29.9,4.5,46
Ocean,Species_6,28.0,24.2,2.35,13
Creek,Species_5,56.5,52.6,21.7,29
Creek,Species_5,30.8,30.2,4.130000000000001,28
Creek,Species_5,38.3,37.6,7.96,16
Ocean,Species_5,36.1,36.6,6.37,45
Creek,Species_5,43.9,41.5,10.0,47
Creek,Species_5,41.6,39.1,8.68,9
Creek,Species_5,54.1,48.1,17.37,30
Creek,Species_5,42.2,40.5,8.940000000000001,47
Creek,Species_5,70.9,64.1,36.1,27
Creek,Species_6,53.9,49.2,18.71,26
Ocean,Species_5,37.6,36.0,6.05,2
Creek,Species_6,44.1,40.0,10.09,39
Creek,Species_6,29.6,27.6,2.64,36
Creek,Species_5,41.2,40.6,10.5,9
Creek,Species_6,32.8,30.7,4.1,2
Ocean,Species_5,41.6,37.8,9.006,30
Ocean,Species_6,31.1,29.4,3.85,0
Creek,Species_6,62.76,57.5,24.33,39
Creek,Species_6,41.6,38.8,8.29,14
Creek,Species_6,5.6,5.5,0.05333333333333334,18
Creek,Species_6,35.4,32.6,4.8,47
Ocean,Species_6,31.5,29.9,3.59,29
Creek,Species_6,62.0,57.5,23.47,3
Creek,Species_6,35.9,32.5,5.65,22
Ocean,Species_5,37.8,34.3,7.0,36
Creek,Species_5,63.3,57.4,30.5,37
Creek,Species_5,40.8,39.1,8.0,23
Creek,Species_6,31.5,29.1,4.0,23
Creek,Species_6,30.0,27.7,2.1,0
Creek,Species_5,44.1,42.6,11.5,31
Ocean,Species_6,32.2,29.3,3.41,2
Ocean,Species_5,33.5,32.5,4.858,49
Ocean,Species_6,49.4,43.6,12.88,29
Creek,Species_5,37.7,37.1,6.25,36
Ocean,Species_5,46.5,42.8,13.52,49
Creek,Species_5,41.0,39.0,7.46,22
Creek,Species_5,40.0,39.3,8.51,10
Ocean,Species_5,87.5,85.8,85.76,15
Creek,Species_6,35.5,33.4,5.062,32
Creek,Species_5,60.8,52.7,26.0,4
Ocean,Species_6,40.6,37.2,9.18,46
Creek,Species_5,43.0,38.8,10.0,11
Creek,Species_5,38.8,36.2,7.01,39
Creek,Species_6,30.0,28.0,3.28,36
Ocean,Species_6,21.7,21.2,1.5,30
Ocean,Species_5,50.0,48.6,15.0,24
Ocean,Species_4,94.5,85.5,102.8,25
Creek,Species_5,41.0,38.7,8.218,6
Creek,Species_5,71.7,66.1,43.616,24
Creek,Species_6,31.6,30.2,3.2,46
Ocean,Species_6,35.5,33.5,7.5,14
Ocean,Species_5,40.8,37.9,12.5,51
Creek,Species_6,43.0,40.4,10.12,17
Ocean,Species_5,67.7,62.6,37.94,9
Creek,Species_5,36.8,34.1,5.45,25
Creek,Species_5,50.6,45.5,13.0,48
Creek,Species_5,79.8,72.8,58.7,18
Creek,Species_6,35.0,32.3,6.5,49
Creek,Species_5,41.1,39.6,7.715999999999999,44
Creek,Species_5,40.2,39.6,8.25,26
Ocean,Species_6,42.7,38.1,9.464,7
Creek,Species_5,41.46,39.76,9.5,35
Creek,Species_5,35.1,34.8,4.8,7
Ocean,Species_4,102.3,91.6,124.8,44
Creek,Species_6,36.4,34.0,4.62,15
Creek,Species_5,71.5,66.1,43.616,20
Creek,Species_5,47.0,46.1,12.4,12
Creek,Species_6,34.1,32.4,4.5,11
Ocean,Species_6,36.9,35.3,6.5,2
Creek,Species_5,49.2,46.0,13.05,22
Creek,Species_6,32.5,29.5,3.3,10
