CCL_cm,CCW_cm,Weight_Kg,CalendarWeek,ForagingGround_Ocean,Species_Species_1,Species_Species_2,Species_Species_3,Species_Species_4,Species_Species_5,Species_Species_6,Species_Species_7
41.9,41.1,9.312000000000001,34,True,False,False,False,False,True,False,False
44.8,44.0,9.966,41,False,False,False,False,False,True,False,False
45.7,43.1,12.086,6,False,False,False,False,False,True,False,False
71.1,64.3,36.1,38,False,False,False,False,False,True,False,False
40.3,39.2,7.786,3,False,False,False,False,False,True,False,False
49.0,47.5,13.52,3,False,False,False,False,False,True,False,False
46.0,41.5,11.7,42,True,False,False,False,False,False,True,False
43.0,40.93,9.3,40,True,False,False,False,False,True,False,False
44.5,43.3,10.296,16,False,False,False,False,False,True,False,False
31.7,28.3,3.4,49,True,False,False,False,False,False,True,False
38.3,37.1,5.2,45,False,False,False,False,False,True,False,False
43.8,41.03,9.35,9,True,False,False,False,False,True,False,False
43.77,40.43,9.45,49,False,False,False,False,False,False,True,False
30.8,29.1,4.29,25,False,False,False,False,False,False,True,False
31.5,30.5,3.9,29,False,False,False,False,False,False,True,False
44.2,41.8,9.7,42,False,False,False,False,False,True,False,False
40.5,38.8,7.32,28,False,False,False,False,False,True,False,False
31.3,30.2,4.12,40,False,False,False,False,False,False,True,False
37.9,36.5,7.02,30,False,False,False,False,False,True,False,False
48.7,44.3,13.681999999999999,38,False,False,False,False,False,True,False,False
36.2,32.1,5.32,50,True,False,False,False,False,False,True,False
63.3,56.0,29.5,41,False,False,False,False,False,True,False,False
48.0,43.8,14.01,17,True,False,False,False,False,True,False,False
44.9,40.3,11.296000000000001,27,False,False,False,False,False,True,False,False
38.0,35.5,6.2,47,True,False,False,False,False,False,True,False
49.2,46.9,19.785999999999998,50,True,False,False,False,False,True,False,False
46.3,43.0,11.75,23,False,False,False,False,False,False,True,False
62.5,58.0,28.363999999999997,49,False,False,False,False,False,True,False,False
48.3,45.8,14.5,18,True,False,False,False,False,True,False,False
33.2,29.6,4.33,37,True,False,False,False,False,True,False,False
45.2,41.5,11.32,11,True,False,False,False,False,False,True,False
35.6,32.8,5.0,11,False,False,False,False,False,True,False,False
42.1,39.5,8.8,14,False,False,False,False,False,False,True,False
67.7,62.2,37.62,41,False,False,False,False,False,True,False,False
33.1,30.6,4.03,46,True,False,False,False,False,False,True,False
45.0,41.4,11.0,0,False,False,False,False,False,True,False,False
33.8,32.1,5.0,41,True,False,False,False,False,False,True,False
44.6,43.2,9.896,28,True,False,False,False,False,True,False,False
45.4,43.1,11.774000000000001,24,False,False,False,False,False,True,False,False
48.9,45.7,13.234,35,False,False,False,False,False,True,False,False
28.5,24.5,2.51,6,True,False,False,False,False,False,True,False
34.9,32.1,4.54,12,False,False,False,False,False,False,True,False
37.7,35.25,6.1,48,True,False,False,False,False,False,True,False
47.7,41.6,11.62,49,False,False,False,False,False,True,False,False
61.5,56.3,27.0,47,True,False,False,False,False,True,False,False
36.4,32.1,5.42,43,True,False,False,False,False,False,True,False
35.5,33.6,5.45,36,False,False,False,False,False,False,True,False
36.7,35.9,6.0,1,True,False,False,False,False,True,False,False
33.8,30.4,5.0,32,False,False,False,False,False,False,True,False
36.3,36.8,5.5,38,False,False,False,False,False,True,False,False
37.06,35.53,5.55,20,False,False,False,False,False,False,True,False
45.3,43.5,11.214,51,True,False,False,False,False,True,False,False
31.5,29.0,3.77,52,True,False,False,False,False,False,True,False
56.9,52.3,23.84,10,True,False,False,False,False,True,False,False
32.7,31.7,4.3,6,True,False,False,False,False,False,True,False
41.1,36.7,8.83,46,True,False,False,False,False,True,False,False
43.0,43.3,9.728,46,False,False,False,False,False,True,False,False
46.4,41.6,11.0,41,False,False,False,False,False,True,False,False
64.8,56.9,32.5,49,False,False,False,False,False,True,False,False
29.3,27.5,3.64,33,True,False,False,False,False,False,True,False
35.7,34.4,5.5,40,True,False,False,False,False,False,True,False
43.7,43.1,10.437999999999999,47,False,False,False,False,False,True,False,False
27.3,25.1,2.5,4,True,False,False,False,False,False,True,False
45.0,41.8,10.734,6,False,False,False,False,False,True,False,False
70.0,62.1,38.196,34,False,False,False,False,False,True,False,False
62.7,58.4,28.669999999999998,44,False,False,False,False,False,True,False,False
55.6,55.4,22.5,48,False,False,False,False,False,True,False,False
66.4,59.0,32.5,49,False,False,False,False,False,True,False,False
32.2,30.1,4.01,18,True,False,False,False,False,False,True,False
40.0,39.1,8.5,25,False,False,False,False,False,True,False,False
46.2,43.6,13.5,51,False,False,False,False,False,True,False,False
43.8,40.8,9.5,9,False,False,False,False,False,True,False,False
39.9,38.7,8.5,7,True,False,False,False,False,True,False,False
44.3,40.8,10.334,9,False,False,False,False,False,False,True,False
48.4,46.6,12.99,46,False,False,False,False,False,True,False,False
32.2,30.8,2.4,2,False,False,False,False,False,False,True,False
30.7,29.9,4.5,46,False,False,False,False,False,False,True,False
28.0,24.2,2.35,13,True,False,False,False,False,False,True,False
56.5,52.6,21.7,29,False,False,False,False,False,True,False,False
30.8,30.2,4.130000000000001,28,False,False,False,False,False,True,False,False
38.3,37.6,7.96,16,False,False,False,False,False,True,False,False
36.1,36.6,6.37,45,True,False,False,False,False,True,False,False
