CaptureSite,ForagingGround,Species,CCL_cm,CCW_cm,Weight_Kg,CalendarWeek
CaptureSite_0,Ocean,Species_6,64.7,62.6,,50
CaptureSite_0,Ocean,Species_6,35.85,31.35,,42
CaptureSite_0,Ocean,Species_5,51.8,49.2,,43
CaptureSite_0,Ocean,Species_6,60.5,59.0,,10
CaptureSite_0,Ocean,Species_5,34.7,33.0,,31
CaptureSite_0,Ocean,Species_5,33.2,30.7,,31
CaptureSite_0,Ocean,Species_6,37.4,33.5,,42
CaptureSite_0,Ocean,Species_6,40.3,37.2,,42
CaptureSite_0,Ocean,Species_5,44.0,43.2,,42
CaptureSite_0,Ocean,Species_5,48.3,43.3,,23
CaptureSite_0,Ocean,Species_5,43.3,43.6,,32
CaptureSite_0,Ocean,Species_5,43.4,41.7,,35
CaptureSite_0,Ocean,Species_5,58.2,53.3,,38
CaptureSite_0,Ocean,Species_5,40.2,39.3,,38
CaptureSite_0,Ocean,Species_5,52.5,47.5,,38
CaptureSite_0,Ocean,Species_5,41.4,39.3,,38
CaptureSite_0,Ocean,Species_5,37.0,36.1,,41
CaptureSite_0,Ocean,Species_5,38.1,38.2,,3
CaptureSite_0,Ocean,Species_5,45.6,43.7,,1
CaptureSite_0,Ocean,Species_5,43.4,40.0,,6
CaptureSite_0,Ocean,Species_6,24.7,24.5,1.7,7
CaptureSite_0,Ocean,Species_6,31.0,28.9,,25
CaptureSite_0,Ocean,Species_5,41.2,39.5,,28
CaptureSite_0,Ocean,Species_5,51.9,48.4,,31
CaptureSite_0,Ocean,Species_5,38.8,36.7,,32
CaptureSite_0,Ocean,Species_6,34.0,32.0,,38
CaptureSite_0,Ocean,Species_5,61.9,58.9,,15
CaptureSite_0,Ocean,Species_6,34.4,33.9,5.5,37
CaptureSite_0,Ocean,Species_5,39.5,39.6,6.5,38
CaptureSite_0,Ocean,Species_5,33.0,32.8,4.5,42
CaptureSite_0,Ocean,Species_5,38.9,38.2,7.5,42
CaptureSite_0,Ocean,Species_5,39.6,37.7,7.0,43
CaptureSite_0,Ocean,Species_5,34.8,33.3,5.5,45
CaptureSite_0,Ocean,Species_5,41.5,41.0,8.5,23
CaptureSite_0,Ocean,Species_5,93.4,89.1,70.0,24
CaptureSite_0,Ocean,Species_5,41.5,39.0,8.5,32
CaptureSite_0,Ocean,Species_5,36.7,35.6,6.5,33
CaptureSite_0,Ocean,Species_4,79.1,73.0,,41
CaptureSite_0,Ocean,Species_6,45.0,41.3,11.0,41
CaptureSite_0,Ocean,Species_5,37.4,36.2,5.5,1
CaptureSite_0,Ocean,Species_6,27.8,27.2,3.0,16
CaptureSite_0,Ocean,Species_5,37.5,37.3,7.5,18
CaptureSite_0,Ocean,Species_5,44.2,44.3,12.0,22
CaptureSite_0,Ocean,Species_5,44.7,44.0,9.0,24
CaptureSite_0,Ocean,Species_5,39.9,35.6,7.3,38
CaptureSite_0,Creek,Species_5,37.0,35.8,5.92,21
CaptureSite_0,Ocean,Species_5,44.4,42.6,9.27,23
CaptureSite_0,Ocean,Species_6,34.67,33.13,3.95,29
CaptureSite_0,Ocean,Species_5,41.7,39.8,8.56,34
CaptureSite_0,Ocean,Species_6,29.3,26.7,2.79,36
CaptureSite_0,Ocean,Species_6,36.6,33.1,5.59,44
CaptureSite_0,Ocean,Species_5,38.7,36.5,7.0,49
CaptureSite_0,Ocean,Species_6,33.5,31.7,3.9,51
CaptureSite_0,Ocean,Species_5,32.0,30.9,2.7,51
CaptureSite_0,Ocean,Species_5,35.0,33.0,5.0,1
CaptureSite_0,Ocean,Species_5,44.0,41.0,8.2,2
CaptureSite_0,Ocean,Species_5,58.9,55.6,27.2,9
CaptureSite_0,Ocean,Species_5,46.2,43.0,11.13,16
CaptureSite_0,Ocean,Species_5,46.7,44.8,12.53,16
CaptureSite_0,Ocean,Species_5,40.4,37.3,7.8,18
CaptureSite_0,Ocean,Species_6,32.8,30.3,3.67,18
CaptureSite_0,Ocean,Species_5,42.5,40.4,9.21,22
CaptureSite_0,Ocean,Species_5,40.5,39.1,8.57,39
CaptureSite_0,Ocean,Species_5,35.4,35.2,5.62,43
CaptureSite_0,Ocean,Species_5,39.0,39.0,7.56,43
CaptureSite_0,Ocean,Species_5,32.0,30.3,3.77,43
CaptureSite_0,Ocean,Species_6,37.5,33.4,6.37,45
CaptureSite_0,Ocean,Species_5,39.0,37.5,8.18,45
CaptureSite_0,Ocean,Species_5,34.0,32.0,4.71,49
CaptureSite_0,Ocean,Species_5,35.3,33.9,5.58,50
CaptureSite_0,Ocean,Species_5,31.5,29.6,3.84,50
CaptureSite_0,Ocean,Species_5,32.8,31.0,4.44,51
CaptureSite_0,Ocean,Species_5,40.0,39.2,7.81,6
CaptureSite_0,Ocean,Species_5,41.3,40.0,8.63,11
CaptureSite_0,Ocean,Species_5,44.9,42.9,10.87,11
CaptureSite_0,Ocean,Species_5,97.4,93.2,93.6,18
CaptureSite_0,Ocean,Species_5,42.4,40.3,8.14,22
CaptureSite_0,Ocean,Species_5,45.2,45.0,11.12,34
CaptureSite_0,Ocean,Species_5,47.0,43.2,11.11,39
CaptureSite_0,Ocean,Species_5,37.6,36.4,6.75,45
CaptureSite_0,Ocean,Species_5,46.5,45.9,14.16,45
CaptureSite_0,Ocean,Species_5,32.2,29.3,3.53,48
CaptureSite_0,Ocean,Species_5,32.2,32.2,4.13,0
CaptureSite_0,Ocean,Species_5,43.6,39.4,10.12,13
CaptureSite_0,Ocean,Species_5,42.0,39.0,9.21,13
CaptureSite_0,Ocean,Species_5,33.3,32.7,4.25,1
CaptureSite_0,Ocean,Species_5,29.2,26.03,2.68,2
CaptureSite_0,Ocean,Species_5,36.1,34.13,5.45,4
CaptureSite_0,Ocean,Species_5,31.83,28.33,3.44,7
CaptureSite_0,Ocean,Species_5,44.37,42.53,10.41,24
CaptureSite_0,Ocean,Species_5,69.0,65.0,25.35,37
CaptureSite_0,Ocean,Species_6,4.4,4.1,,37
CaptureSite_0,Ocean,Species_5,40.47,37.5,8.58,40
CaptureSite_0,Ocean,Species_5,42.5,41.27,8.75,49
CaptureSite_0,Ocean,Species_5,31.2,29.87,4.84,49
CaptureSite_1,Ocean,Species_6,32.0,29.4,,22
CaptureSite_1,Ocean,Species_6,32.5,30.5,,28
CaptureSite_1,Ocean,Species_6,35.4,33.0,,21
CaptureSite_1,Ocean,Species_5,44.9,44.3,,24
CaptureSite_1,Ocean,Species_5,53.1,50.0,,49
CaptureSite_1,Ocean,Species_6,37.2,34.1,,47
CaptureSite_1,Ocean,Species_6,52.3,46.3,,18
CaptureSite_1,Ocean,Species_6,44.8,42.5,,18
CaptureSite_1,Ocean,Species_5,66.2,62.3,,19
CaptureSite_1,Ocean,Species_5,75.9,70.5,,27
CaptureSite_1,Ocean,Species_5,59.6,55.4,,30
CaptureSite_1,Ocean,Species_5,60.8,56.1,,30
CaptureSite_1,Ocean,Species_5,61.1,56.8,,30
CaptureSite_1,Ocean,Species_5,46.2,43.8,,30
CaptureSite_1,Ocean,Species_5,74.2,65.6,,30
CaptureSite_1,Ocean,Species_5,61.2,58.5,,33
CaptureSite_1,Ocean,Species_5,64.5,60.0,,34
CaptureSite_1,Ocean,Species_5,63.8,57.6,,34
CaptureSite_1,Ocean,Species_5,75.3,72.8,,34
CaptureSite_1,Ocean,Species_5,68.8,61.7,,34
CaptureSite_1,Ocean,Species_5,49.0,44.0,,34
CaptureSite_1,Ocean,Species_5,,,,36
CaptureSite_1,Ocean,Species_5,64.0,61.2,,36
CaptureSite_1,Ocean,Species_5,48.3,45.3,,36
CaptureSite_1,Ocean,Species_5,44.2,42.1,,36
CaptureSite_1,Ocean,Species_5,61.0,58.7,,36
CaptureSite_1,Ocean,Species_5,101.0,91.4,,37
CaptureSite_1,Ocean,Species_5,92.8,81.5,,37
CaptureSite_1,Ocean,Species_5,60.4,56.0,,38
CaptureSite_1,Ocean,Species_5,43.1,42.0,,38
CaptureSite_1,Ocean,Species_5,66.0,63.3,,40
CaptureSite_1,Ocean,Species_5,53.0,49.1,,40
CaptureSite_1,Ocean,Species_5,99.2,88.7,,40
CaptureSite_1,Ocean,Species_5,52.5,47.5,,42
